"","mz","intensity"
"403",213.169494530869,5192.2080078125
"404",213.174193450007,0
"405",213.178897363287,0
"406",213.183601432263,0
"407",213.188305656941,0
"408",213.89570664393,0
"409",213.900434458808,0
"410",213.905162430437,0
"411",213.909890558825,0
"412",213.914618843978,7118.9560546875
"413",213.919347285903,8588.90234375
"414",213.924075884608,10398.908203125
"415",213.9288046401,10438.9384765625
"416",213.933533552384,7608.744140625
"417",213.938262621469,3070.52270507812
"418",213.943172768296,0
"419",213.947902151002,0
"420",213.952631690528,0
"421",213.957361386883,0
"422",215.073204106718,0
"423",215.07797100921,0
"424",215.082738070183,0
"425",215.087505289646,0
"426",215.092272667605,1468.86157226562
"427",215.097040204066,18521.197265625
"428",215.101807899038,34487.55859375
"429",215.106575752527,37001.85546875
"430",215.11134376454,24940.3984375
"431",215.116111935084,8949.8466796875
"432",215.120880264166,1380.98608398438
"433",215.125648553538,0
"434",215.130417199718,4778.9033203125
"435",215.135186004457,15629.4560546875
"436",215.139954967763,23304.779296875
"437",215.144724089641,21478.62890625
"438",215.1494933701,12715.9404296875
"439",215.154262809147,5471.3046875
"440",215.158972826357,0
"441",215.1637425826,0
"442",215.168512497451,0
"443",215.173282570917,0
"444",226.048948497373,0
"445",226.054084919703,0
"446",226.059221517104,0
"447",226.064358289583,0
"448",226.069495237149,316.62158203125
"449",226.074632359809,8075.1650390625
"450",226.079769657571,16628.529296875
"451",226.084907130443,19005.869140625
"452",226.090044778434,13364.5419921875
"453",226.09518260155,4079.46508789062
"454",226.10032018024,0
"455",226.105458353633,0
"456",226.110596702176,0
"457",226.115735225876,0
"458",226.131151848005,0
"459",226.136291072417,0
"460",226.141430472027,0
"461",226.146570046842,0
"462",226.151709796872,7093.0771484375
"463",226.156849722122,8028.572265625
"464",226.161989822603,8237.3544921875
"465",226.167130098321,7728.443359375
"466",226.172270549284,6245.2587890625
"467",226.177600185905,0
"468",226.182740987383,0
"469",226.187881964131,0
"470",226.193023116157,0
"471",228.09693476921,0
"472",228.102141146353,0
"473",228.107347701752,0
"474",228.112554435416,0
"475",228.117761347353,0
"476",228.122968437572,9091.595703125
"477",228.128175706079,29241.24609375
"478",228.133383152884,47619.08984375
"479",228.138590777995,49389.3515625
"480",228.143798581419,32889.171875
"481",228.149006563165,12117.5087890625
"482",228.154214723241,1114.48364257812
"483",228.159418566744,0
"484",228.164627083504,0
"485",228.169835778619,0
"486",228.175044652097,0
"487",229.089351712084,0
"488",229.094592104644,0
"489",229.099832677016,0
"490",229.105073429207,0
"491",229.110314361226,5487.494140625
"492",229.11555547308,12643.3173828125
"493",229.120796764779,15148.7197265625
"494",229.126038236331,11233.6923828125
"495",229.131279887743,5753.828125
"496",229.136516912934,0
"497",229.141758924092,0
"498",229.147001115135,0
"499",229.152243486072,0
"500",230.130462003721,0
"501",230.135738159957,0
"502",230.141014497642,0
"503",230.146291016784,0
"504",230.151567717393,2040.39868164062
"505",230.156844599476,10923.9580078125
"506",230.162121663041,44449.17578125
"507",230.167398908098,83141.1328125
"508",230.172676334653,97350.546875
"509",230.177953942717,74448.0390625
"510",230.183231732296,33888.86328125
"511",230.188509703399,5414.24609375
"512",230.193783543313,0
"513",230.19906187749,0
"514",230.204340393216,0
"515",230.2096190905,0
"516",231.083096935429,0
"517",231.088405887041,0
"518",231.093715021609,0
"519",231.099024339139,0
"520",231.104333839641,6074.1982421875
"521",231.109643523123,14330.6591796875
"522",231.114953389593,19374.28515625
